subject,predicate,object,metadata
Pie la mode,was erroneously claimed to be first invented,at Cambridge Hotel,"Over five decades later, in 1936, erroneous claim was made that Pie la Mode was first invented at Cambridge Hotel in Cambridge, Washington County, New York, in 1890s."
Professor Charles Watson Townsend,ordered,slice of apple pie with ice cream,"The claim is that while visiting hotel, Professor Charles Watson Townsend ordered slice of apple pie with ice cream. When asked by another guest what he called dish, he replied it did not have had incorrectly attributed invention of pie la mode to Townsend."
Professor Charles Watson Townsend,ordered,slice of apple pie with ice cream,"The claim is that while visiting hotel , Professor Charles Watson Townsend ordered slice of apple pie with ice cream ."
Professor Charles Watson Townsend,replied,it did not have had incorrectly attributed invention of pie la mode to Townsend,"When asked by another guest what he called dish , he replied it did not have had incorrectly attributed invention of pie la mode to Townsend ."
St. Paul reporter,wanted to set record straight,"dessert was really invented inside Superior Street restaurant in Duluth , Minnesota in 1880s","The St. Paul reporter wanted to set record straight , so newspaper ran story on May 23 , 1936 about how dessert was really invented inside Superior Street restaurant in Duluth , Minnesota in 1880s ."
St. Paul newspaper,ran story on,"May 23 , 1936","The St. Paul reporter wanted to set record straight , so newspaper ran story on May 23 , 1936 about how dessert was really invented inside Superior Street restaurant in Duluth , Minnesota in 1880s ."
"Superior Street restaurant in Duluth, Minnesota",served,ice cream with blueberry pie,The St. Paul newspaper indicated Duluth restaurant specifically served ice cream with blueberry pie .
Duluth restaurant,served,ice cream with blueberry pie,The St. Paul newspaper indicated Duluth restaurant specifically served ice cream with blueberry pie .
Charles Watson Townsend,died on,"May 20 , 1936","When Charles Watson Townsend , died on May 20 , 1936 , controversy developed as to who really invented Pie la Mode ."
New York Times,reported,"Pie la Mode was first invented by Townsend at Cambridge Hotel in Cambridge , New York in late 1800s","The New York Times reported that Pie la Mode was first invented by Townsend at Cambridge Hotel in Cambridge , New York in late 1800s ."
Charles Watson Townsend,ordered,pie ice cream at Cambridge Hotel in 1896,"It was later reported by several sources that Townsend ordered pie ice cream at Cambridge Hotel in 1896 , thus invented dessert ."
Fruit,is commonly found in,dessert courses,Fruit is also commonly found in dessert courses because of its naturally occurring sweetness .
dessert,originated from,French word desservir,"The word dessert originated from French word desservir , meaning to clear table ."
dessert,first known use,1600,"Its first known use was in 1600 , in health education manual entitled Naturall artificial Directions for Health , written by William Vaughan ."
dessert,refers to fact it was served after table had been cleared of,table,"In his A History of Dessert ( 2013 ) , Michael Krondl explains it refers to fact dessert was served after table had been cleared of"
Trippe in Deliverance ( 1972 ),starring,Jon Voight,"Trippe in Deliverance ( 1972 ) , starring Jon Voight Burt Reynolds , set in northern Georgia ."
Trippe in Deliverance ( 1972 ),starring,Burt Reynolds,"Trippe in Deliverance ( 1972 ) , starring Jon Voight Burt Reynolds , set in northern Georgia ."
Beattys character,forced to strip at gunpoint by,two mountain men,"Beattys character is forced to strip at gunpoint by two mountain men who humiliate rape him , scene so unprecedented , horrifying shocking that it is still referenced as screen milestone ."
Beattys character,humiliated by,rape,"Beattys character is forced to strip at gunpoint by two mountain men who humiliate rape him , scene so unprecedented , horrifying shocking that it is still referenced as screen milestone ."
The Thief Who Came to Dinner,appeared in,1973,"In 1972 , he also appeared in The Life Times of Judge Roy Bean , western with Paul Newman . In 1973 , Beatty made The Thief Who Came to Dinner , The Last American Hero White Lightning ."
The Thief Who Came to Dinner,reunited with,Burt Reynolds,"The latter film reunited Beatty with his Deliverance co-star , Burt Reynolds ."
Ned Beatty,born,"July 6 , 1937","Ned Beatty Ned Thomas Beatty ( born July 6 , 1937 ) is retired American actor ."
Ned Beatty,is retired,American actor,"Ned Beatty Ned Thomas Beatty ( born July 6 , 1937 ) is retired American actor ."
Ned Beatty,has appeared in,more than 160 films,"Ned Beatty Ned Thomas Beatty ( born July 6 , 1937 ) is retired American actor . He has appeared in more than 160 films has been nominated for Academy Award , two Emmy Awards , MTV Movie Award for Best Villain Golden Globe Award he also won Drama Desk Award ."
Ned Beatty,has been nominated for,Academy Award,"Ned Beatty Ned Thomas Beatty ( born July 6 , 1937 ) is retired American actor . He has appeared in more than 160 films has been nominated for Academy Award , two Emmy Awards , MTV Movie Award for Best Villain Golden Globe Award he also won Drama Desk Award ."
Ned Beatty,has been nominated for,Emmy Awards,"Ned Beatty Ned Thomas Beatty ( born July 6 , 1937 ) is retired American actor . He has appeared in more than 160 films has been nominated for Academy Award , two Emmy Awards , MTV Movie Award for Best Villain Golden Globe Award he also won Drama Desk Award ."
Ned Beatty,has been nominated for,MTV Movie Award for Best Villain,"Ned Beatty Ned Thomas Beatty ( born July 6 , 1937 ) is retired American actor . He has appeared in more than 160 films has been nominated for Academy Award , two Emmy Awards , MTV Movie Award for Best Villain Golden Globe Award he also won Drama Desk Award ."
Ned Beatty,has won,Drama Desk Award,"Ned Beatty Ned Thomas Beatty ( born July 6 , 1937 ) is retired American actor . He has appeared in more than 160 films has been nominated for Academy Award , two Emmy Awards , MTV Movie Award for Best Villain Golden Globe Award he also won Drama Desk Award ."
Ned Beatty,appeared in,Network ( 1976 ),"These nominations stemmed from his performances in films television series , such as Network ( 1976 ) , Friendly Fire ( 1979 ) , Hear My Song ( 1991 ) , Toy Story 3 ( 2010 ) ."
Ned Beatty,appeared in,Friendly Fire ( 1979 ),"These nominations stemmed from his performances in films television series , such as Network ( 1976 ) , Friendly Fire ( 1979 ) , Hear My Song ( 1991 ) , Toy Story 3 ( 2010 ) ."
Ned Beatty,appeared in,Hear My Song ( 1991 ),"These nominations stemmed from his performances in films television series , such as Network ( 1976 ) , Friendly Fire ( 1979 ) , Hear My Song ( 1991 ) , Toy Story 3 ( 2010 ) ."
Ned Beatty,appeared in,Toy Story 3 ( 2010 ),"These nominations stemmed from his performances in films television series , such as Network ( 1976 ) , Friendly Fire ( 1979 ) , Hear My Song ( 1991 ) , Toy Story 3 ( 2010 ) ."
Orme,nominated for,Best Picture,"Deliverance was nominated for three Oscars , including Best Picture , Best Director Best telling MGM he deferred all his approvals on project to Boorman ."
Orme,nominated for,Best Director,"Deliverance was nominated for three Oscars , including Best Picture , Best Director Best telling MGM he deferred all his approvals on project to Boorman ."
Orme,nominated for,Best telling,"Deliverance was nominated for three Oscars , including Best Picture , Best Director Best telling MGM he deferred all his approvals on project to Boorman ."
Deliverance,nominated for,three Oscars,"Deliverance was nominated for three Oscars , including Best Picture , Best Director Best telling MGM he deferred all his approvals on project to Boorman ."
Deliverance,nominated for,Best Picture,"Deliverance was nominated for three Oscars , including Best Picture , Best Director Best telling MGM he deferred all his approvals on project to Boorman ."
Deliverance,nominated for,Best Director,"Deliverance was nominated for three Oscars , including Best Picture , Best Director Best telling MGM he deferred all his approvals on project to Boorman ."
Deliverance,adapted from novel by,James Dickey,"The film is based on 1970 novel of same name by author James Dickey , celebrated poet who has small role in film as sheriff , who wrote screenplay ( uncredited) ."
Deliverance,produced and directed by,John Boorman,"Deliverance is 1972 American thriller film produced directed by John Boorman , starring Jon Voight , Burt Reynolds , Ned Beatty Ronny Cox , with latter two making their feature film debuts ."
Deliverance,starring,Jon Voight,"Deliverance is 1972 American thriller film produced directed by John Boorman , starring Jon Voight , Burt Reynolds , Ned Beatty Ronny Cox , with latter two making their feature film debuts ."
Deliverance,starring,Burt Reynolds,"Deliverance is 1972 American thriller film produced directed by John Boorman , starring Jon Voight , Burt Reynolds , Ned Beatty Ronny Cox , with latter two making their feature film debuts ."
Deliverance,starring,Ned Beatty,"Deliverance is 1972 American thriller film produced directed by John Boorman , starring Jon Voight , Burt Reynolds , Ned Beatty Ronny Cox , with latter two making their feature film debuts ."
Deliverance,starring,Ronny Cox,"Deliverance is 1972 American thriller film produced directed by John Boorman , starring Jon Voight , Burt Reynolds , Ned Beatty Ronny Cox , with latter two making their feature film debuts ."
Deliverance,nominated for,five Golden Globe Award nominations,"The film was critical success , earning three Oscar nominations five Golden Globe Award nominations ."
The film,is based on,1970 novel of same name by author James Dickey,"The film is based on 1970 novel of same name by author James Dickey , celebrated poet who has small role in film as sheriff , who wrote screenplay ( uncredited) ."
James Dickey,is celebrated poet,who has small role in film as sheriff,"The film is based on 1970 novel of same name by author James Dickey , celebrated poet who has small role in film as sheriff , who wrote screenplay ( uncredited) ."
James Dickey,wrote screenplay,uncredited,"The film is based on 1970 novel of same name by author James Dickey , celebrated poet who has small role in film as sheriff , who wrote screenplay ( uncredited) ."
The film,was critical success,earning three Oscar nominations five Golden Globe Award nominations,"The film is based on 1970 novel of same name by author James Dickey , celebrated poet who has small role in film as sheriff , who wrote screenplay ( uncredited) ."
The film,was selected by The New York Times,"one of The Best 1,000 Movies Ever Made","The film was selected by The New York Times as one of The Best 1,000 Movies Ever Made , while viewers of Channel 4 in United Kingdom voted it 45 on list of The 100 Greatest Films ."
Deliverance Deliverance is 1972 American thriller film produced directed by John Boorman,made their feature film debuts,"Jon Voight , Burt Reynolds , Ned Beatty Ronny Cox","Deliverance Deliverance is 1972 American thriller film produced directed by John Boorman , starring Jon Voight , Burt Reynolds , Ned Beatty Ronny Cox , with latter two making their feature film debuts ."
St Kilians Deutsche Schule (Dublin),is a medium school,German-language medium school,"The German-language medium school , St Kilians Deutsche Schule ( Dublin ) ."
Sibford School,is a Quaker school,"near Banbury, Oxfordshire","In England , he went on to attend Sibford School , Quaker school near Banbury , Oxfordshire ( from 1980-83 ) , where he received extra lessons in specialist department catering for pupils with dyslexia ."
Sibford School,is located in,Oxfordshire,"In England , he went on to attend Sibford School , Quaker school near Banbury , Oxfordshire ( from 1980-83 ) , where he received extra lessons in specialist department catering for pupils with dyslexia ."
Boorman,has two daughters,Doone Kinvara and Olivia Boorman,"At early age , Boorman started appearing in films directed by his father . His first role was in Deliverance ( 1972 ) . According to Adam Savage , Boorman appeared uncredited with Ridley Scotts son , Luke , in film Alien ( 1979 ) . Boorman played young Mordred in Excalibur Ive never been insured in my life . I dont believe in insurance . Theres no risk . Several people have been credited with phrase squeal like pig , now-famous line spoken during graphic male rape scene . Ned Beatty said he thought of it while he actor McKinney ( who played Beattys rapist ) were improvising scene . Boorman and Olivia have two daughters , Doone Kinvara , reside in Barnes , south London ."
Ned Beatty,thought of the phrase 'squeal like pig',while improvising a scene,Ned Beatty said he thought of it while he actor McKinney ( who played Beattys rapist ) were improvising scene .
McKinney,played Beatty's rapist in the film,Alien (1979),Ned Beatty said he thought of it while he actor McKinney ( who played Beattys rapist ) were improvising scene .
Boorman,was one of Cahills burglary victims,John Boorman,"Boorman himself had been one of Cahills burglary victims , having gold record awarded for score to Deliverance stolen from his home ."
John Boorman,received gold record for,Deliverance,"Boorman himself had been one of Cahills burglary victims , having gold record awarded for score to Deliverance stolen from his home ."
John Boorman,appointed CBE in,1994 Birthday Honours,He was appointed CBE in 1994 Birthday Honours for services to film industry .
John Boorman,made Fellow of BAFTA,2004,"In 2004 , Boorman was also made Fellow of BAFTA ."
John Boorman,born on,18 January 1933,"Released John Boorman John Boorman , ( born 18 January 1933 ) is English filmmaker who is best known for his feature films such as Point Blank , Hell in Pacific , Deliverance , Zardoz , , Excalibur , The Emerald Forest , Hope Glory , The General , The Tailor of Panama Queen Country ."
John Boorman,directed 22 films,John Boorman,"He has directed 22 films received five Academy Award nominations , twice for Best Director ( for Deliverance , Hope Glory ) ."
John Boorman,received five Academy Award nominations,John Boorman,"He has directed 22 films received five Academy Award nominations , twice for Best Director ( for Deliverance , Hope Glory ) ."
John Boorman,twice for Best Director,John Boorman,"He has directed 22 films received five Academy Award nominations , twice for Best Director ( for Deliverance , Hope Glory ) ."
John Boorman,created first Academy Award screeners to promote,The Emerald Forest,In 2004 Boorman received BAFTA Fellowship for lifetime achievement from British Academy The popular 1970s television variety show Hee Haw regularly lampooned stereotypical hillbilly lifestyle .
John Boorman,received BAFTA Fellowship for lifetime achievement,2004,In 2004 Boorman received BAFTA Fellowship for lifetime achievement from British Academy The popular 1970s television variety show Hee Haw regularly lampooned stereotypical hillbilly lifestyle .
He,credited with creating,first Academy Award screeners,He is also credited with creating first Academy Award screeners to promote The Emerald Forest .
Boorman,received BAFTA Fellowship for lifetime achievement,British Academy,In 2004 Boorman received BAFTA Fellowship for lifetime achievement from British Academy The popular 1970s television variety show Hee Haw regularly lampooned stereotypical hillbilly lifestyle .
Hee Haw,lampooned,stereotypical hillbilly lifestyle,The popular 1970s television variety show Hee Haw regularly lampooned stereotypical hillbilly lifestyle .
Deliverance (1972),depicted,"hillbillies as genetically deficient, inbred, murderous","A darker image of hillbilly is found in film Deliverance ( 1972 ) , based on novel by James Dickey which depicted some hillbillies as genetically deficient, inbred , murderous , while depicting others as helpful , friendly , smart ."
Deliverance (1972),based on novel by James Dickey,novel depicting hillbillies,"A darker image of hillbilly is found in film Deliverance ( 1972 ) , based on novel by James Dickey which depicted some hillbillies as genetically deficient, inbred , murderous , while depicting others as helpful , friendly , smart ."
Hillbillies,at center of reality television in 21st century,United States,Hillbillies were at center of reality television in 21st century .
New Beverly Hillbillies,displayed hillbilly lifestyle,United States,"Network television shows such as New Beverly Hillbillies , High Life , The Simple Life displayed hillbilly lifestyle for viewers in United States ."
High Life,displayed hillbilly lifestyle,United States,"Network television shows such as New Beverly Hillbillies , High Life , The Simple Life displayed hillbilly lifestyle for viewers in United States ."
The Simple Life,displayed hillbilly lifestyle,United States,"Network television shows such as New Beverly Hillbillies , High Life , The Simple Life displayed hillbilly lifestyle for viewers in United States ."
Rural-minded individuals,gathered to fight,protests across country,This sparked protests across country with rural-minded individuals gathering to fight
The Fosdyke Saga,was created by,Bill Tidy,"The Fosdyke Saga was British comic strip by cartoonist Bill Tidy , published in Daily Mirror newspaper from March 1971 - February 1985 ."
The Fosdyke Saga,was published in,Daily Mirror newspaper,"The Fosdyke Saga was British comic strip by cartoonist Bill Tidy , published in Daily Mirror newspaper from March 1971 - February 1985 ."
The Fosdyke Saga,was a parody of,The Forsyte Saga,"The Fosdyke Saga was British comic strip by cartoonist Bill Tidy , published in Daily Mirror newspaper from March 1971 - February 1985 . Described as classic tale of struggle , power , personalities tripe , strip was parody of John Galsworthys classic novel series The Forsyte Saga ."
The Fosdyke Saga,"was a classic tale of struggle, power, personalities tripe",The Fosdyke Saga,"The Fosdyke Saga was British comic strip by cartoonist Bill Tidy , published in Daily Mirror newspaper from March 1971 - February 1985 . Described as classic tale of struggle , power , personalities tripe , strip was parody of John Galsworthys classic novel series The Forsyte Saga ."
The Fosdyke Saga,was published from,March 1971,"The Fosdyke Saga was British comic strip by cartoonist Bill Tidy , published in Daily Mirror newspaper from March 1971 - February 1985 ."
The Fosdyke Saga,was published until,February 1985,"The Fosdyke Saga was British comic strip by cartoonist Bill Tidy , published in Daily Mirror newspaper from March 1971 - February 1985 ."
The Fosdyke Saga,"was a classic tale of struggle, power, personalities tripe",The Fosdyke Saga,"The Fosdyke Saga was British comic strip by cartoonist Bill Tidy , published in Daily Mirror newspaper from March 1971 - February 1985 . Described as classic tale of struggle , power , personalities tripe , strip was parody of John Galsworthys classic novel series The Forsyte Saga ."
The Fosdyke Saga,"was a classic tale of struggle, power, personalities tripe",The Fosdyke Saga,"The Fosdyke Saga was British comic strip by cartoonist Bill Tidy , published in Daily Mirror newspaper from March 1971 - February 1985 . Described as classic tale of struggle , power , personalities tripe , strip was parody of John Galsworthys classic novel series The Forsyte Saga ."
The Fosdyke Saga,"was a classic tale of struggle, power, personalities tripe",The Fosdyke Saga,"The Fosdyke Saga was British comic strip by cartoonist Bill Tidy , published in Daily Mirror newspaper from March 1971 - February 1985 . Described as classic tale of struggle , power , personalities tripe , strip was parody of John Galsworthys classic novel series The Forsyte Saga ."
The Fosdyke Saga,"was a classic tale of struggle, power, personalities tripe",The Fosdyke Saga,"The Fosdyke Saga was British comic strip by cartoonist Bill Tidy , published in Daily Mirror newspaper from March 1971 - February 1985 . Described as classic tale of struggle , power , personalities tripe , strip was parody of John Galsworthys classic novel series The Forsyte Saga ."
The Fosdyke Saga,"was a classic tale of struggle, power, personalities tripe",The Fosdyke Saga,"The Fosdyke Saga was British comic strip by cartoonist Bill Tidy , published in Daily Mirror newspaper from March 1971 - February 1985 . Described as classic tale of struggle , power , personalities tripe , strip was parody of John Galsworthys classic novel series The Forsyte Saga ."
The Fosdyke Saga,"was a classic tale of struggle, power, personalities tripe",The Fosdyke Saga,"The Fosdyke Saga was British comic strip by cartoonist Bill Tidy , published in Daily Mirror newspaper from March 1971 - February 1985 . Described as classic tale of struggle , power , personalities tripe , strip was parody of John Galsworthys classic novel series The Forsyte Saga ."
The Fosdyke Saga,"was a classic tale of struggle, power, personalities tripe",The Fosdyke Saga,"The Fosdyke Saga was British comic strip by cartoonist Bill Tidy , published in Daily Mirror newspaper from March 1971 - February 1985 . Described as classic tale of struggle , power , personalities tripe , strip was parody of John Galsworthys classic novel series The Forsyte Saga ."
The Fosdyke Saga,"was a classic tale of struggle, power, personalities tripe",The Fosdyke Saga,"The Fosdyke Saga was British comic strip by cartoonist Bill Tidy , published in Daily Mirror newspaper from March 1971 - February 1985 . Described as classic tale of struggle , power , personalities tripe , strip was parody of John Galsworthys classic novel series The Forsyte Saga ."
The Fosdyke Saga,"was a classic tale of struggle, power, personalities tripe",The Fosdyke Saga,"The Fosdyke Saga was British comic strip by cartoonist Bill Tidy , published in Daily Mirror newspaper from March 1971 - February 1985 . Described as classic tale of struggle , power , personalities tripe , strip was parody of John Galsworthys classic novel series The Forsyte Saga ."
The Fosdyke Saga,"was a classic tale of struggle, power, personalities tripe",The Fosdyke Saga,"The Fosdyke Saga was British comic strip by cartoonist Bill Tidy , published in Daily Mirror newspaper from March 1971 - February 1985 . Described as classic tale of struggle , power , personalities tripe , strip was parody of John Galsworthys classic novel series The Forsyte Saga ."
The Fosdyke Saga,"was a classic tale of struggle, power, personalities tripe",The Fosdyke Saga,"The Fosdyke Saga was British comic strip by cartoonist Bill Tidy , published in Daily Mirror newspaper from March 1971 - February 1985 . Described as classic tale of struggle , power , personalities tripe , strip was parody of John Galsworthys classic novel series The Forsyte Saga ."
The Fosdyke Saga,"was a classic tale of struggle, power, personalities tripe",The Fosdyke Saga,"The Fosdyke Saga was British comic strip by cartoonist Bill Tidy , published in Daily Mirror newspaper from March 1971 - February 1985 . Described as classic tale of struggle , power , personalities tripe , strip was parody of John Galsworthys classic novel series The Forsyte Saga ."
The Fosdyke Saga,"was a classic tale of struggle, power, personalities tripe",The Fosdyke Saga,"The Fosdyke Saga was British comic strip by cartoonist Bill Tidy , published in Daily Mirror newspaper from March 1971 - February 1985 . Described as classic tale of struggle , power , personalities tripe , strip was parody of John Galsworthys classic novel series The Forsyte Saga ."
The Fosdyke Saga,"was a classic tale of struggle, power, personalities tripe",The Fosdyke Saga,"The Fosdyke Saga was British comic strip by cartoonist Bill Tidy , published in Daily Mirror newspaper from March 1971 - February 1985 . Described as classic tale of struggle , power , personalities tripe , strip was parody of John Galsworthys classic novel series The Forsyte Saga ."
The Fosdyke Saga,"was a classic tale of struggle, power, personalities tripe",The Fosdyke Saga,"The Fosdyke Saga was British comic strip by cartoonist Bill Tidy , published in Daily Mirror newspaper from March 1971 - February 1985 . Described as classic tale of struggle , power , personalities tripe , strip was parody of John Galsworthys classic novel series The Forsyte Saga ."
The Fosdyke Saga,"was a classic tale of struggle, power, personalities tripe",The Fosdyke Saga,"The Fosdyke Saga was British comic strip by cartoonist Bill Tidy , published in Daily Mirror newspaper from March 1971 - February 1985 . Described as classic tale of struggle , power , personalities tripe , strip was parody of John Galsworthys classic novel series The Forsyte Saga ."
The Fosdyke Saga,"was a classic tale of struggle, power, personalities tripe",The Fosdyke Saga,"The Fosdyke Saga was British comic strip by cartoonist Bill Tidy , published in Daily Mirror newspaper from March 1971 - February 1985 . Described as classic tale of struggle , power , personalities tripe , strip was parody of John Galsworthys classic novel series The Forsyte Saga ."
The Fosdyke Saga,"was a classic tale of struggle, power, personalities tripe",The Fosdyke Saga,"The Fosdyke Saga was British comic strip by cartoonist Bill Tidy , published in Daily Mirror newspaper from March 1971 - February 1985 . Described as classic tale of struggle , power , personalities tripe , strip was parody of John Galsworthys classic novel series The Forsyte Saga ."
The Fosdyke Saga,adapted as,TV movie,"The Fosdyke Saga has been adapted as TV movie , radio serial by BBC stage play ."
The Fosdyke Saga,adapted as,radio serial,"The Fosdyke Saga has been adapted as TV movie , radio serial by BBC stage play ."
The Fosdyke Saga,adapted by,BBC stage play,"The Fosdyke Saga has been adapted as TV movie , radio serial by BBC stage play ."
Miriam Margolyes,starred in,radio adaptation of The Fosdyke Saga,"The radio adaptation starred ( among others ) Miriam Margolyes , Enn Reitel , Christian Rodska David Threlfall ."
Enn Reitel,starred in,radio adaptation of The Fosdyke Saga,"The radio adaptation starred ( among others ) Miriam Margolyes , Enn Reitel , Christian Rodska David Threlfall ."
Christian Rodska,starred in,radio adaptation of The Fosdyke Saga,"The radio adaptation starred ( among others ) Miriam Margolyes , Enn Reitel , Christian Rodska David Threlfall ."
David Threlfall,starred in,radio adaptation of The Fosdyke Saga,"The radio adaptation starred ( among others ) Miriam Margolyes , Enn Reitel , Christian Rodska David Threlfall ."
Bill Tidy,is known for,comic strips,"The Fosdyke Saga was British comic strip by cartoonist Bill Bill Tidy William Edward Bill Tidy , MBE ( born 9 October 1933 ) , is British cartoonist , writer television personality , known chiefly for his comic strips ."
Bill Tidy,was born on,9 October 1933,"Bill Tidy ( born 9 October 1933 ) , is British cartoonist , writer television personality , known chiefly for his comic strips ."
Bill Tidy,is British cartoonist,,"Bill Tidy ( born 9 October 1933 ) , is British cartoonist , writer television personality , known chiefly for his comic strips ."
Bill Tidy,is writer,,"Bill Tidy ( born 9 October 1933 ) , is British cartoonist , writer television personality , known chiefly for his comic strips ."
Bill Tidy,is television personality,,"Bill Tidy ( born 9 October 1933 ) , is British cartoonist , writer television personality , known chiefly for his comic strips ."
Bill Tidy,was appointed MBE in,2000,He was appointed MBE in 2000 for Services to Journalism .
Bill Tidy,is noted for,charitable work,"He is noted for his charitable work , particularly for Lords Taverners , which he has supported for over 30 years ."
Bill Tidy,has supported,Lords Taverners,"He is noted for his charitable work , particularly for Lords Taverners , which he has supported for over 30 years ."
Bill Tidy,has supported,Lords Taverners for over 30 years,"He is noted for his charitable work , particularly for Lords Taverners , which he has supported for over 30 years ."
Bill Tidy,has working class roots in,North of England,"He is deeply proud of his working class roots in North of England , his most abiding cartoon strips , such as Cloggies Fosdyke Saga , have been set in exaggerated version of that environment ."
Bill Tidy,lives in,"Boylestone, Derbyshire","He now lives in Boylestone , Derbyshire ."
Cartoon Art Trust,hosts,Cartoon Art Trust Awards,"Every year trustees of Cartoon Art Trust host Cartoon Art Trust Awards , giving award to Young Cartoonist of Year , also giving Lifetime Achievement Award to artist who has made significant contribution to British cartooning ."
Cartoon Art Trust,gives award to,Young Cartoonist of Year,"Every year trustees of Cartoon Art Trust host Cartoon Art Trust Awards , giving award to Young Cartoonist of Year , also giving Lifetime Achievement Award to artist who has made significant contribution to British cartooning ."
